duration(m),UserID,age,gender,Score,recruit,Experiment,task,condition,Stimuli,Choice,CriticalStimuli,Response,Word,novelty
2144,1,18,female,144,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2400,2,20,female,160,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
3302,3,18,female,152,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
3864,4,19,female,165,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
1984,5,20,male,167,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
1960,6,19,male,118,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2779,7,19,female,150,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2542,8,20,female,154,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2745,9,19,female,166,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2080,10,17,male,150,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2446,11,19,male,164,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
5279,12,18,female,161,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2254,13,20,male,157,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2629,14,20,female,162,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2498,15,20,female,166,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2221,16,21,female,160,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
1836,17,19,female,148,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2570,18,19,female,166,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2903,19,21,female,154,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2670,20,22,female,156,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2836,21,20,male,162,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
3359,22,18,female,162,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2878,23,19,male,161,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
4435,24,19,female,96,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
4236,25,18,female,168,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2370,26,21,male,160,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2450,27,21,female,150,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
3364,28,18,male,154,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2400,29,19,male,139,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
3277,30,20,female,166,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
1676,31,21,female,130,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2104,32,19,female,158,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2515,33,20,female,156,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
1858,34,20,male,146,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2446,35,20,male,163,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2257,36,19,male,160,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
4986,37,22,female,109,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
3126,38,19,male,166,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2064,39,18,female,141,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2328,40,19,male,156,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2155,41,19,female,142,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2580,42,20,female,142,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2020,43,17,female,151,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
3066,44,18,female,153,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2257,45,21,male,113,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2410,46,19,female,163,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
3124,47,18,female,161,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2022,48,18,male,154,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2551,49,23,male,150,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
4398,50,20,female,153,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2389,51,19,male,162,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
3720,52,32,female,165,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2509,53,20,female,157,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2385,54,19,male,161,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
1895,55,22,female,164,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2786,57,20,male,162,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2776,58,19,male,153,Penn,One,Suffix ID,Exposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
2721,59,18,female,149,Penn,Two,Suffix ID,Conditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
21059,60,19,female,165,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
2397,61,19,female,160,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
3116,62,20,male,162,Penn,One,Suffix ID,NoExposure,Norl_gequzis,gequzisdup,Norl,dup,gequzis,old
4622,63,20,male,164,Penn,Two,Suffix ID,Unconditioned,Norl_gequzis,gequzisnup,Norl,nup,gequzis,old
